,89,90
C,1.0,1.0
u0,0.0,0.0
u1,0.0,0.0
u10,0.0,0.0
u100,0.0,0.0
u101,0.0,-0.0
u102,0.0,0.0
u103,0.0,0.0
u104,0.0,0.0
u105,0.0,0.0
u106,0.0,0.0
u107,0.0,0.0
u108,0.0,0.0
u109,0.0,0.0
u11,-0.0,-0.0
u110,-211104.12138485783,-211101.0270213366
u111,0.0,0.0
u112,0.0,0.0
u113,0.0,0.0
u114,0.0,0.0
u115,0.0,0.0
u116,0.0,0.0
u117,0.0,0.0
u118,0.0,0.0
u119,0.0,0.0
u12,0.0,0.0
u120,0.0,0.0
u121,0.0,0.0
u122,0.0,0.0
u123,0.0,0.0
u124,0.0,0.0
u125,0.0,0.0
u126,0.0,0.0
u127,0.0,0.0
u128,0.0,0.0
u129,-211104.07430863418,-211101.0740975301
u13,0.0,0.0
u130,0.0,0.0
u131,0.0,0.0
u132,0.0,0.0
u133,0.0,0.0
u134,0.0,0.0
u135,0.0,0.0
u136,0.0,0.0
u137,0.0,0.0
u138,0.0,0.0
u139,0.0,0.0
u14,0.0,0.0
u140,0.0,0.0
u141,0.0,-1.0
u142,0.0,-1.0
u143,0.0,0.0
u144,0.0,0.0
u145,0.0,0.0
u146,0.0,0.0
u147,0.0,0.0
u148,0.0,0.0
u149,0.0,0.0
u15,0.0,0.0
u150,0.0,0.0
u151,0.0,0.0
u152,0.0,0.0
u153,0.0,0.0
u154,0.0,0.0
u155,0.0,0.0
u156,0.0,0.0
u157,0.0,0.0
u158,0.0,0.0
u159,0.0,0.0
u16,0.0,0.0
u160,0.0,0.0
u161,0.0,0.0
u162,0.0,0.0
u163,0.0,0.0
u164,0.0,0.0
u165,0.0,0.0
u166,0.0,0.0
u167,0.0,0.0
u168,0.0,0.0
u169,0.0,0.0
u17,0.0,0.0
u170,0.0,0.0
u171,0.0,0.0
u172,0.0,0.0
u173,0.0,0.0
u174,0.0,0.0
u175,0.0,0.0
u176,0.0,0.0
u177,0.0,0.0
u178,0.0,0.0
u179,0.0,0.0
u18,0.0,0.0
u180,0.0,0.0
u181,0.0,0.0
u182,0.0,0.0
u183,0.0,0.0
u184,0.0,0.0
u185,0.0,0.0
u186,0.0,0.0
u187,0.0,0.0
u188,0.0,0.0
u189,0.0,0.0
u19,0.0,0.0
u190,0.0,0.0
u191,0.0,0.0
u192,0.0,0.0
u193,0.0,-0.0
u194,0.0,0.0
u195,0.0,0.0
u196,0.0,0.0
u197,0.0,0.0
u198,0.0,0.0
u199,0.0,0.0
u2,0.0,0.0
u20,0.0,0.0
u200,0.0,-1.0
u201,0.0,-1.0
u202,0.0,-1.0
u203,0.0,-1.0
u204,0.0,-1.0
u205,0.0,-1.0
u206,0.0,-1.0
u207,0.0,-0.9999999999999998
u208,0.0,0.0
u209,0.0,0.0
u21,0.0,0.0
u210,0.0,-1.0
u211,0.0,-1.0000000000000004
u212,0.0,0.0
u213,0.0,0.0
u214,0.0,-1.0
u215,0.0,-0.9999999999999991
u216,0.0,-1.0
u217,0.0,-0.9999999999999998
u218,0.0,0.0
u219,0.0,0.0
u22,0.0,0.0
u220,0.0,0.0
u221,0.0,0.0
u222,0.0,0.0
u223,0.0,0.0
u224,0.0,0.0
u225,0.0,0.0
u226,0.0,0.0
u227,0.0,0.0
u228,0.0,0.0
u229,-0.0,-0.0
u23,0.0,0.0
u230,0.0,0.0
u231,-0.0,-0.0
u232,0.0,0.0
u233,0.0,0.0
u234,0.0,0.0
u235,0.0,0.0
u236,0.0,0.0
u237,0.0,0.0
u238,0.0,0.0
u239,0.0,0.0
u24,0.0,0.0
u240,0.0,0.0
u241,0.0,0.0
u242,0.0,0.0
u243,0.0,0.0
u244,0.0,0.0
u245,0.0,0.0
u246,0.0,0.0
u247,0.0,-0.0
u248,0.0,0.0
u249,0.0,0.0
u25,0.0,0.0
u250,0.0,0.0
u251,-0.0,-0.0
u252,0.0,0.0
u253,0.0,0.0
u254,0.0,0.0
u255,0.0,0.0
u256,0.0,0.0
u257,0.0,0.0
u258,-0.0,-0.0
u259,0.0,0.0
u26,0.0,0.0
u260,0.0,0.0
u261,0.0,0.0
u262,0.0,0.0
u263,0.0,0.0
u264,0.0,0.0
u265,0.0,0.0
u266,0.0,0.0
u267,0.0,0.0
u268,0.0,0.0
u269,0.0,0.0
u27,0.0,0.0
u270,0.0,0.0
u271,0.0,0.0
u272,0.0,0.0
u273,0.0,0.0
u274,0.0,0.0
u275,0.0,0.0
u276,0.0,0.0
u277,0.0,0.0
u278,0.0,0.0
u279,0.0,0.0
u28,-0.0,-0.0
u280,0.0,0.0
u281,-0.0,-0.0
u282,-0.0,-0.0
u283,0.0,0.0
u284,-0.0,-0.0
u285,0.0,0.0
u286,0.0,0.0
u287,-0.0,-0.0
u288,0.0,0.0
u289,0.0,0.0
u29,0.0,0.0
u290,0.0,0.0
u291,0.0,0.0
